Name,Region,Tags,Website,Image,Description
CALA,Tel Aviv,Boutique Chain; Multi-Brand; Vintage,https://cala.co.il/,https://cala.co.il/cdn/shop/files/RefaelMizrahifashionphotography_1108_dee8b78f-3b73-4e27-a046-f4bd841884ba.jpg?v=1753288930&width=1400,"A Tel Aviv boutique chain founded in 2002, fashion that listens. A personal, intuitive approach to style selection, celebrating individuality at every size, age, and occasion, known for its strong vintage and seasonal collections."
Seestarz,Online,Multi-Brand; Boutique,https://seestarz.com/,https://seestarz.com/cdn/shop/files/017A1703_0b116fe1-b3c1-4e6d-b421-82923d2984f6.jpg?v=1774079930&width=1800,"Born from a sisterhood and a wildly popular Instagram fashion blog, Alona and Daniela's curated edit covers swimwear, streetwear and more from a roster of brands they love."
Zohi Sabina,Online,Multi-Brand; Womenswear,https://www.zohisabina.co.il/,https://www.zohisabina.co.il/cdn/shop/files/573_41a8cae3-08f4-4634-a891-5ee37bdd4cbc.jpg?v=1777837389&width=1445,"A curated multi-brand boutique stocking a refined edit of Israeli womenswear and accessories, quietly confident essentials and considered seasonal pieces in one place."
Shmua,Online,Multi-Brand; Concept Store,https://shmua.co.il/,https://shmua.co.il/wp-content/uploads/2025/10/ChatGPT-Image-Sep-9-2025-10_32_40-PM-1.webp,"An Israeli concept shop bringing together a thoughtful mix of local labels, clothing, accessories and lifestyle pieces under one quietly opinionated roof."
Tema,Tel Aviv,Multi-Brand; Concept Store,https://www.tema-shop.com/,https://www.tema-shop.com/wp-content/uploads/2024/05/4T0A0330-copy-613x919-1.jpg,"A Tel Aviv concept store curating an edited selection of Israeli and international designers, clothing, objects and accessories chosen with a strong point of view. Kiryat Shaul 24, Tel Aviv · 03-6442356."
Haparlament,Pardes Hanna,Multi-Brand; Boutique,https://www.instagram.com/haparlament_atar/,https://madambubu.com/wp-content/uploads/2026/04/1872-2025-04-14-BU-BU-1862-scaled.jpg,"A multi-brand boutique stocking Israeli designers, followed and shopped through Instagram."
DA Studio,HaSharon,Multi-Brand; Studio,https://www.instagram.com/da_studio.il/,https://tula-tula.com/cdn/shop/files/spring_26_cover_1280x.jpg?v=1774461209,"The Emek Hefer studio-shop of designer Tula, who sells her own brand alongside a curated roster of other Israeli labels. Gesher HaEtz, Emek Hefer Industrial Zone."
Razili,Nationwide,Multi-Brand; Boutique,https://www.razili.co.il/,https://www.razili.co.il/cdn/shop/products/forera-shirts-house-of-jaffa-x-razili-black-001-985218.jpg?v=1676843618&width=1800,"Razili, also operating as a multi-brand store stocking a curated mix of Israeli labels alongside her own line."
Rene and Danielle,Tel Aviv,Concept Store; Lifestyle; Homeware,https://www.rene-and-danielle.co.il/,https://www.rene-and-danielle.co.il/wp-content/uploads/2026/03/%D7%A6%D7%99%D7%9C%D7%95%D7%9D-%D7%9E%D7%A1%D7%9A-2026-03-02-%D7%91-14.27.36.png,"A Tel Aviv treasure-box of a concept store, opened 2019, renamed for the owner's grandmother Renée, a sharp-eyed, beauty-loving woman who arrived from Egypt in the 1950s. A carefully chosen collection of local handcraft, homeware, gifts, and lifestyle and beauty objects, united by natural materials and soft, harmonious palettes. Every visit is a small journey of discovery."
Belle and Sue,Tel Aviv,Multi-Brand; Concept Store; Sustainable,https://www.belleandsue.co.il/,https://www.belleandsue.co.il/cdn/shop/files/1155UntitledCapture1459.jpg?v=1761640245,"Israel's pioneering online fashion boutique since 2010, curating international labels, championing local designers, and launching their own FEZ brand of considered everyday essentials."
